party,result,council,region
"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Хмільницька міська рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Хмільницька міська рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Хмільницька міська рада,Вінницька обл.
"Політична партія ""НОВА ПОЛІТИКА""",11.76,Хмільницька міська рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",73.53,Рубіжанська міська рада,Луганська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Козятинська міська рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",66.67,Лисичанська міська рада,Луганська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",32.35,Могилів-Подільська міська рада,Вінницька обл.
"Політична партія ""НОВА ПОЛІТИКА""",20.59,Жмеринська міська рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",11.76,Хмільницька міська рада,Вінницька обл.
"Політична партія ""Європейська партія України""",8.82,Хмільницька міська рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ВІННИЦЬКА ЄВРОПЕЙСЬКА СТРАТЕГІЯ""",37.04,Вінницька міська рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Рубіжанська міська рада,Луганська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Рубіжанська міська рада,Луганська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Козятинська міська рада,Вінницька обл.
"Політична партія ""Сила людей""",11.76,Козятинська міська рада,Вінницька обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.76,Козятинська міська рада,Вінницька обл.
"Політична партія ""Наш край""",26.92,Ладижинська міська рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Лисичанська міська рада,Луганська обл.
Радикальна партія Олега Ляшка,8.33,Лисичанська міська рада,Луганська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Лисичанська міська рада,Луганська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Могилів-Подільська міська рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",11.76,Могилів-Подільська міська рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",44.44,Сєвєродонецька міська рада,Луганська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Жмеринська міська рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Жмеринська міська рада,Вінницька обл.
політична партія Єдиний Центр,8.82,Хмільницька міська рада,Вінницька обл.
Радикальна партія Олега Ляшка,5.88,Хмільницька міська рада,Вінницька обл.
Аграрна партія України,5.88,Хмільницька міська рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",18.52,Вінницька міська рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",16.67,Вінницька міська рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.11,Вінницька міська рада,Вінницька обл.
"Партія ""Справедливість""",8.82,Рубіжанська міська рада,Луганська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Козятинська міська рада,Вінницька обл.
"Політична партія ""Наш край""",8.82,Козятинська міська рада,Вінницька обл.
Радикальна партія Олега Ляшка,8.82,Козятинська міська рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.08,Ладижинська міська рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Ладижинська міська рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Могилів-Подільська міська рада,Вінницька обл.
"Політична партія ""Наш край""",8.82,Могилів-Подільська міська рада,Вінницька обл.
"Політична партія ""Наш край""",25.0,Сєвєродонецька міська рада,Луганська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.11,Сєвєродонецька міська рада,Луганська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Сєвєродонецька міська рада,Луганська обл.
"Політична партія ""Наш край""",11.76,Жмеринська міська рада,Вінницька обл.
Народна Партія,11.76,Жмеринська міська рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Жмеринська міська рада,Вінницька обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",9.26,Вінницька міська рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",7.41,Вінницька міська рада,Вінницька обл.
