,party,result,council,region
4,"Політична Партія ""Опозиційний блок""",73.53,Рубіжанська міська рада,Луганська обл.
6,"Політична Партія ""Опозиційний блок""",66.67,Лисичанська міська рада,Луганська обл.
12,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Рубіжанська міська рада,Луганська обл.
13,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Рубіжанська міська рада,Луганська обл.
18,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Лисичанська міська рада,Луганська обл.
19,Радикальна партія Олега Ляшка,8.33,Лисичанська міська рада,Луганська обл.
20,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Лисичанська міська рада,Луганська обл.
23,"Політична Партія ""Опозиційний блок""",44.44,Сєвєродонецька міська рада,Луганська обл.
32,"Партія ""Справедливість""",8.82,Рубіжанська міська рада,Луганська обл.
40,"Політична партія ""Наш край""",25.0,Сєвєродонецька міська рада,Луганська обл.
41,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.11,Сєвєродонецька міська рада,Луганська обл.
42,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Сєвєродонецька міська рада,Луганська обл.
55,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",22.22,Олександрійська міська рада,Кіровоградська обл.
56,"Політична Партія ""Опозиційний блок""",14.71,Світловодська міська рада,Кіровоградська обл.
59,Радикальна партія Олега Ляшка,5.56,Сєвєродонецька міська рада,Луганська обл.
60,"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.56,Сєвєродонецька міська рада,Луганська обл.
64,"Політична Партія ""Опозиційний блок""",20.59,Знам'янська міська рада,Кіровоградська обл.
65,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.43,Кіровоградська міська рада,Кіровоградська обл.
68,"Політична Партія ""Опозиційний блок""",22.22,Олександрійська міська рада,Кіровоградська обл.
69,"Політична партія ""Об’єднання ""САМОПОМІЧ""",13.89,Олександрійська міська рада,Кіровоградська обл.
70,"політична партія Всеукраїнське об’єднання ""Батьківщина""",13.89,Олександрійська міська рада,Кіровоградська обл.
71,"політична партія Всеукраїнське об’єднання ""Свобода""",14.71,Світловодська міська рада,Кіровоградська обл.
