,party,result,council,region
0,Аграрна партія України,17.65,Ямпільська районна рада,Вінницька обл.
1,"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.53,Тлумацька районна рада,Івано-Франківська обл.
2,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",25.0,Тисменицька районна рада,Івано-Франківська обл.
3,"політична партія Всеукраїнське об’єднання ""Батьківщина""",27.78,Снятинська районна рада,Івано-Франківська обл.
4,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.44,Рожнятівська районна рада,Івано-Франківська обл.
5,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",20.0,Косівська районна рада,Івано-Франківська обл.
6,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Ямпільська районна рада,Вінницька обл.
7,Партія ветеранів Афганістану,14.71,Ямпільська районна рада,Вінницька обл.
8,"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.71,Ямпільська районна рада,Вінницька обл.
9,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",20.59,Тлумацька районна рада,Івано-Франківська обл.
10,"політична партія Всеукраїнське об’єднання ""Батьківщина""",22.73,Тисменицька районна рада,Івано-Франківська обл.
11,"Політична партія ""Воля""",18.18,Тисменицька районна рада,Івано-Франківська обл.
12,"Політична партія ""Громадянська позиція""",16.67,Снятинська районна рада,Івано-Франківська обл.
13,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Снятинська районна рада,Івано-Франківська обл.
14,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",13.89,Снятинська районна рада,Івано-Франківська обл.
15,Радикальна партія Олега Ляшка,13.89,Рожнятівська районна рада,Івано-Франківська обл.
16,Українська Народна Партія,13.89,Рожнятівська районна рада,Івано-Франківська обл.
17,"політична партія Всеукраїнське об’єднання ""Батьківщина""",15.0,Косівська районна рада,Івано-Франківська обл.
18,"Політична партія ""Об’єднання ""САМОПОМІЧ""",12.5,Косівська районна рада,Івано-Франківська обл.
19,"Політична партія ""Воля""",12.5,Косівська районна рада,Івано-Франківська обл.
20,"Політична партія ""Громадянська позиція""",15.56,Рогатинська районна рада,Івано-Франківська обл.
