party,result,council
Аграрна партія України,  17.65,"Вінницька обл., Ямпільська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  23.53,"Івано-Франківська обл., Тлумацька районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  25.00,"Івано-Франківська обл., Тисменицька районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  27.78,"Івано-Франківська обл., Снятинська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  19.44,"Івано-Франківська обл., Рожнятівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  20.00,"Івано-Франківська обл., Косівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Вінницька обл., Ямпільська районна рада"
Партія ветеранів Афганістану,  14.71,"Вінницька обл., Ямпільська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Вінницька обл., Ямпільська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  20.59,"Івано-Франківська обл., Тлумацька районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  22.73,"Івано-Франківська обл., Тисменицька районна рада"
"Політична партія ""Воля""",  18.18,"Івано-Франківська обл., Тисменицька районна рада"
"Політична партія ""Громадянська позиція""",  16.67,"Івано-Франківська обл., Снятинська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  16.67,"Івано-Франківська обл., Снятинська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  13.89,"Івано-Франківська обл., Снятинська районна рада"
Радикальна партія Олега Ляшка,  13.89,"Івано-Франківська обл., Рожнятівська районна рада"
Українська Народна Партія,  13.89,"Івано-Франківська обл., Рожнятівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  15.00,"Івано-Франківська обл., Косівська районна рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  12.50,"Івано-Франківська обл., Косівська районна рада"
"Політична партія ""Воля""",  12.50,"Івано-Франківська обл., Косівська районна рада"
"Політична партія ""Громадянська позиція""",  15.56,"Івано-Франківська обл., Рогатинська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  22.22,"Івано-Франківська обл., Надвірнянська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.76,"Вінницька обл., Ямпільська районна рада"
Радикальна партія Олега Ляшка,   8.82,"Вінницька обл., Ямпільська районна рада"
"Політична Партія ""Опозиційний блок""",   8.82,"Вінницька обл., Ямпільська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",  11.76,"Івано-Франківська обл., Тлумацька районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.76,"Івано-Франківська обл., Тлумацька районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.36,"Івано-Франківська обл., Тисменицька районна рада"
політична партія Народний Рух України,   9.09,"Івано-Франківська обл., Тисменицька районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  34.88,"Івано-Франківська обл., Коломийська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.11,"Івано-Франківська обл., Снятинська районна рада"
політична партія Народний Рух України,   8.33,"Івано-Франківська обл., Снятинська районна рада"
Радикальна партія Олега Ляшка,   5.56,"Івано-Франківська обл., Снятинська районна рада"
"Політична партія ""Воля""",  11.11,"Івано-Франківська обл., Рожнятівська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.11,"Івано-Франківська обл., Рожнятівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.33,"Івано-Франківська обл., Рожнятівська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  12.50,"Івано-Франківська обл., Косівська районна рада"
політична партія Народний Рух України,  10.00,"Івано-Франківська обл., Косівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.56,"Івано-Франківська обл., Рогатинська районна рада"
Українська партія,  13.33,"Івано-Франківська обл., Рогатинська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  19.44,"Івано-Франківська обл., Надвірнянська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  19.44,"Івано-Франківська обл., Надвірнянська районна рада"
Партія захисників Вітчизни,   5.88,"Вінницька обл., Ямпільська районна рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  11.76,"Івано-Франківська обл., Тлумацька районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.76,"Івано-Франківська обл., Тлумацька районна рада"
Радикальна партія Олега Ляшка,   6.82,"Івано-Франківська обл., Тисменицька районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   6.82,"Івано-Франківська обл., Тисменицька районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  20.93,"Івано-Франківська обл., Коломийська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.63,"Івано-Франківська обл., Коломийська районна рада"
Аграрна партія України,  30.77,"Кіровоградська обл., Бобринецька районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  26.47,"Київська обл., Баришівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.53,"Волинська обл., Старовижівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  20.59,"Волинська обл., Рожищенська районна рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.33,"Івано-Франківська обл., Рожнятівська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.33,"Івано-Франківська обл., Рожнятівська районна рада"
політична партія Конгрес Українських Націоналістів,   5.56,"Івано-Франківська обл., Рожнятівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.53,"Волинська обл., Ратнівська районна рада"
політична партія Конгрес Українських Націоналістів,  10.00,"Івано-Франківська обл., Косівська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.50,"Івано-Франківська обл., Косівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  13.33,"Івано-Франківська обл., Рогатинська районна рада"
"Політична партія ""Воля""",  11.11,"Івано-Франківська обл., Рогатинська районна рада"
Українська Народна Партія,  11.11,"Івано-Франківська обл., Рогатинська районна рада"
"Політична партія ""Воля""",  16.67,"Івано-Франківська обл., Надвірнянська районна рада"
політична партія Конгрес Українських Націоналістів,   8.33,"Івано-Франківська обл., Надвірнянська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.33,"Івано-Франківська обл., Надвірнянська районна рада"
"Політична партія ""Громадянська позиція""",   8.82,"Івано-Франківська обл., Тлумацька районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.63,"Івано-Франківська обл., Коломийська районна рада"
Радикальна партія Олега Ляшка,   6.98,"Івано-Франківська обл., Коломийська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.08,"Кіровоградська обл., Бобринецька районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  19.23,"Кіровоградська обл., Бобринецька районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  23.53,"Київська обл., Баришівська районна рада"
"Політична партія ""Наш край""",  20.59,"Київська обл., Баришівська районна рада"
"Політична партія ""Громадянська позиція""",  14.71,"Волинська обл., Старовижівська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  14.71,"Волинська обл., Старовижівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  26.47,"Волинська обл., Маневицька районна рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  14.71,"Волинська обл., Рожищенська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Волинська обл., Рожищенська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.76,"Волинська обл., Рожищенська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  20.59,"Волинська обл., Любомльська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  23.53,"Волинська обл., Ратнівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Волинська обл., Ратнівська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.89,"Івано-Франківська обл., Рогатинська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   6.67,"Івано-Франківська обл., Рогатинська районна рада"
політична партія Народний Рух України,   4.44,"Івано-Франківська обл., Рогатинська районна рада"
Радикальна партія Олега Ляшка,   5.56,"Івано-Франківська обл., Надвірнянська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   6.98,"Івано-Франківська обл., Коломийська районна рада"
політична партія Народний Рух України,   6.98,"Івано-Франківська обл., Коломийська районна рада"
"Політична Партія ""Опозиційний блок""",  11.54,"Кіровоградська обл., Бобринецька районна рада"
Радикальна партія Олега Ляшка,  11.54,"Кіровоградська обл., Бобринецька районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  26.47,"Кіровоградська обл., Маловисківська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Київська обл., Баришівська районна рада"
Радикальна партія Олега Ляшка,   8.82,"Київська обл., Баришівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Волинська обл., Старовижівська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.76,"Волинська обл., Старовижівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  26.47,"Волинська обл., Маневицька районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.76,"Волинська обл., Маневицька районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Волинська обл., Маневицька районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Волинська обл., Рожищенська районна рада"
Радикальна партія Олега Ляшка,   8.82,"Волинська обл., Рожищенська районна рада"
