party,result,council
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  17.65,"Вінницька обл., Хмільницька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Вінницька обл., Хмільницька міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.76,"Вінницька обл., Хмільницька міська рада"
"Політична партія ""НОВА ПОЛІТИКА""",  11.76,"Вінницька обл., Хмільницька міська рада"
"Політична Партія ""Опозиційний блок""",  73.53,"Луганська обл., Рубіжанська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  20.59,"Вінницька обл., Козятинська міська рада"
"Політична Партія ""Опозиційний блок""",  66.67,"Луганська обл., Лисичанська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  32.35,"Вінницька обл., Могилів-Подільська міська рада"
"Політична партія ""НОВА ПОЛІТИКА""",  20.59,"Вінницька обл., Жмеринська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",  11.76,"Вінницька обл., Хмільницька міська рада"
"Політична партія ""Європейська партія України""",   8.82,"Вінницька обл., Хмільницька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ВІННИЦЬКА ЄВРОПЕЙСЬКА СТРАТЕГІЯ""",  37.04,"Вінницька обл., Вінницька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Луганська обл., Рубіжанська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   8.82,"Луганська обл., Рубіжанська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Вінницька обл., Козятинська міська рада"
"Політична партія ""Сила людей""",  11.76,"Вінницька обл., Козятинська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  11.76,"Вінницька обл., Козятинська міська рада"
"Політична партія ""Наш край""",  26.92,"Вінницька обл., Ладижинська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  16.67,"Луганська обл., Лисичанська міська рада"
Радикальна партія Олега Ляшка,   8.33,"Луганська обл., Лисичанська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.33,"Луганська обл., Лисичанська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.53,"Вінницька обл., Могилів-Подільська міська рада"
"Політична Партія ""Опозиційний блок""",  11.76,"Вінницька обл., Могилів-Подільська міська рада"
"Політична Партія ""Опозиційний блок""",  44.44,"Луганська обл., Сєвєродонецька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Вінницька обл., Жмеринська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.76,"Вінницька обл., Жмеринська міська рада"
політична партія Єдиний Центр,   8.82,"Вінницька обл., Хмільницька міська рада"
Радикальна партія Олега Ляшка,   5.88,"Вінницька обл., Хмільницька міська рада"
Аграрна партія України,   5.88,"Вінницька обл., Хмільницька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  18.52,"Вінницька обл., Вінницька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  16.67,"Вінницька обл., Вінницька міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.11,"Вінницька обл., Вінницька міська рада"
"Партія ""Справедливість""",   8.82,"Луганська обл., Рубіжанська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.82,"Вінницька обл., Козятинська міська рада"
"Політична партія ""Наш край""",   8.82,"Вінницька обл., Козятинська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Вінницька обл., Козятинська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  23.08,"Вінницька обл., Ладижинська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  19.23,"Вінницька обл., Ладижинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.82,"Вінницька обл., Могилів-Подільська міська рада"
"Політична партія ""Наш край""",   8.82,"Вінницька обл., Могилів-Подільська міська рада"
"Політична партія ""Наш край""",  25.00,"Луганська обл., Сєвєродонецька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.11,"Луганська обл., Сєвєродонецька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.33,"Луганська обл., Сєвєродонецька міська рада"
"Політична партія ""Наш край""",  11.76,"Вінницька обл., Жмеринська міська рада"
Народна Партія,  11.76,"Вінницька обл., Жмеринська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.82,"Вінницька обл., Жмеринська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   9.26,"Вінницька обл., Вінницька міська рада"
"Політична Партія ""Опозиційний блок""",   7.41,"Вінницька обл., Вінницька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   5.88,"Вінницька обл., Козятинська міська рада"
"Політична партія ""КОНКРЕТНИХ СПРАВ""",   5.88,"Вінницька обл., Козятинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""РІДНИЙ ДІМ"" ",  11.54,"Вінницька обл., Ладижинська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   7.69,"Вінницька обл., Ладижинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.69,"Вінницька обл., Ладижинська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Вінницька обл., Могилів-Подільська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   5.88,"Вінницька обл., Могилів-Подільська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  22.22,"Кіровоградська обл., Олександрійська міська рада"
"Політична Партія ""Опозиційний блок""",  14.71,"Кіровоградська обл., Світловодська міська рада"
"Політична Партія ""Опозиційний блок""",  47.06,"Запорізька обл., Токмацька міська рада"
політична партія Єдиний Центр,  47.22,"Закарпатська обл., Мукачівська міська рада"
Радикальна партія Олега Ляшка,   5.56,"Луганська обл., Сєвєродонецька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   5.56,"Луганська обл., Сєвєродонецька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   5.88,"Вінницька обл., Жмеринська міська рада"
Радикальна партія Олега Ляшка,   5.88,"Вінницька обл., Жмеринська міська рада"
"Партія ""Відродження""",  25.00,"Закарпатська обл., Ужгородська міська рада"
"Політична Партія ""Опозиційний блок""",  20.59,"Кіровоградська обл., Знам'янська міська рада"
